SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
sklepanje, odštevek	0	0	0	0	0	0	0	0	0	0
dejanje	0	0	0	0	0	0	0	0	0	1
poglobiti, znižati	0	0	0	0	0	0	0	0	0	0
jelen	0	0	0	0	0	0	0	0	0	0
obrekovanje, kleveta, klevetanje	0	1	0	0	1	1	0	0	0	0
klevetniški	0	1	1	0	0	0	0	0	0	0
neuspeh, neizpolnitev obveznosti	0	1	0	0	1	1	0	1	0	0
poraz, premagati	0	1	0	0	0	0	0	0	0	0
premagan, poražen	0	1	0	0	0	0	0	1	0	0
napaka	0	1	1	0	0	0	0	0	0	0
beg, dezerterstvo	0	1	0	0	0	1	0	0	0	0
pomanjkljiv	0	1	0	0	1	0	0	0	0	0
braniti	1	0	0	0	0	1	0	0	0	0
obtoženec	0	0	1	0	0	1	0	1	0	0
branjen	1	0	0	0	0	0	0	0	0	1
zaščitnik, zagovornik	1	0	0	0	0	0	0	0	0	1
braniti	1	0	0	0	0	0	0	0	0	0
obramba	1	0	1	1	0	1	0	0	0	0
brez obrambe	0	1	0	0	0	1	0	1	0	0
branljiv, opravičljiv	0	0	0	0	0	0	0	0	0	0
obramben, obramba	0	0	0	0	0	0	0	0	0	0
preložiti, odložiti	0	0	0	0	0	0	0	0	0	0
spoštovanje	1	0	0	0	0	0	0	0	0	1
odlog	0	1	0	0	0	0	0	0	0	0
odlašajoč	0	0	0	0	0	0	0	0	0	0
kljubovanje	0	1	1	0	1	1	0	0	0	0
uporen	0	1	1	0	0	0	0	0	0	0
pomanjkanje	0	1	0	0	0	0	0	0	0	0
primankljaj	0	1	0	0	0	0	0	0	0	0
definirati	0	0	0	0	0	0	0	0	0	0
definiran	0	0	0	0	0	0	0	0	0	0
definicija, ostrina	0	0	0	0	0	0	0	0	0	0
dokončen	1	0	0	0	0	0	0	0	0	1
uničiti	0	1	1	0	0	0	0	1	0	0
deflacija	0	1	0	0	0	1	0	0	0	0
odbiti, preusmeriti	0	0	0	0	0	0	0	0	0	0
odboj, odklonitev	0	0	0	0	0	0	0	0	0	0
razdevičenje	0	0	0	0	0	0	0	0	0	0
popačiti	0	1	0	0	1	0	0	0	0	0
popačen	0	1	0	0	1	0	0	1	0	0
deformacija	0	1	0	0	1	1	0	1	0	0
prevarati	0	1	1	0	1	0	0	0	0	0
kriti stroške	0	0	0	0	0	0	0	0	0	0
spreten	0	0	0	0	0	0	0	0	0	0
preminul	0	1	0	0	0	0	0	1	0	0
upirati se	0	1	1	0	0	1	0	1	1	0
degeneracija	0	1	1	0	1	0	0	1	0	0
degenerirati	0	1	0	0	0	0	0	0	0	0
degeneracija	0	0	0	0	0	0	0	0	0	0
degradacija	0	1	0	0	0	0	0	0	0	0
degradirati	0	1	0	0	1	0	0	0	0	0
ponižujoče	0	1	0	0	1	1	0	1	0	0
stopnja	1	0	0	0	0	0	0	0	0	0
dehidriran	0	0	0	0	0	0	0	0	0	0
zamuda, zamuditi	0	1	1	0	1	1	0	1	0	0
zamaknjen	0	1	0	0	0	0	0	0	0	0
očarljiv	1	0	0	0	0	0	0	0	0	0
odposlanec, delegirati	1	0	0	0	0	0	0	0	0	1
delegacija	0	0	0	0	0	0	0	0	0	0
škodljiv	0	1	1	0	1	1	0	0	0	0
brisanje	0	1	0	0	0	0	0	0	0	0
nameren	1	0	0	0	0	0	0	0	0	0
preudarek, razmišljanje	0	0	0	0	0	0	0	0	0	0
posvetovalen	0	0	0	0	0	0	0	0	0	0
poslastica, delikatesa	0	0	0	0	0	0	0	0	0	0
okusen	1	0	0	0	0	0	1	0	0	0
radost, razveseliti	1	0	0	1	0	0	1	0	0	0
vesel	1	0	0	1	0	0	1	0	1	0
čudovit	1	0	0	1	0	0	1	0	0	1
razmejevati, začrtati	0	0	0	0	0	0	0	0	0	0
zamejitev	0	0	0	0	0	0	0	0	0	0
prestopništvo	0	1	0	0	0	0	0	0	0	0
prestopnik	0	1	1	0	1	0	0	0	0	0
vznemirjen	0	1	0	0	0	0	0	1	0	0
delirij	0	1	0	0	1	0	0	1	0	0
odrešitev	1	0	0	1	0	0	1	0	0	1
dostava	1	0	0	1	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
delta	0	0	0	0	0	0	0	0	0	0
poplava, biti poplavljen	0	1	0	0	0	1	0	1	1	0
utvara, iluzija	0	1	1	0	0	1	0	1	0	0
utvaren	0	1	1	0	0	1	0	0	0	0
brskati	0	0	0	0	0	0	0	0	0	0
povpraševanje, povpraševati	0	1	1	0	0	0	0	0	0	0
zahteven	0	1	0	0	0	0	0	0	0	0
vedenje, obnašanje	0	0	0	0	0	0	0	0	0	0
nor	0	1	0	0	0	1	0	0	0	0
demenca	0	1	0	0	0	1	0	1	0	0
smrt	0	1	0	0	0	1	0	1	0	0
demokracija	1	0	0	0	0	0	0	0	0	0
demokrat	0	0	0	0	0	0	0	0	0	0
uničiti	0	1	1	0	0	0	0	1	0	0
rušenje	0	1	0	0	0	0	0	0	0	0
demon	0	1	1	0	1	1	0	1	0	0
demonski	0	1	1	0	1	1	0	1	0	0
dokazljiv	1	0	0	0	0	0	0	0	0	0
dokazati	0	0	0	0	0	0	0	0	0	0
dokazan	0	0	0	0	0	0	0	0	0	0
dokazujoč	0	0	0	0	0	0	0	0	0	0
predstavitev	0	0	0	0	0	0	0	0	0	0
nazoren	1	0	0	0	0	0	1	1	0	0
demonstrator	0	0	0	0	0	0	0	0	0	0
demotaliziran	0	1	0	0	0	1	0	1	0	0
demonstracija	0	0	0	0	0	0	0	0	0	0
brlog, hišica	0	0	0	0	0	0	0	0	0	0
zanikanje	0	1	0	0	0	0	0	0	0	0
zavrnjen	0	1	0	0	0	0	0	1	0	0
denominacija	0	0	0	0	0	0	0	0	0	0
verski	0	0	0	0	0	0	0	0	0	0
imenovalec	0	0	0	0	0	0	0	0	0	0
označiti	0	0	0	0	0	0	0	0	0	0
obtožiti	0	1	1	0	1	0	0	0	0	0
gost	0	0	0	0	0	0	0	0	0	0
gostota	0	0	0	0	0	0	0	0	0	0
omajati, vdolbina	0	0	0	0	0	0	0	0	0	0
zobozdravstvo	0	0	0	0	0	1	0	0	0	0
obsojanje, ovadba	0	1	1	0	1	1	0	0	0	0
zanikati	0	1	1	0	0	0	0	0	0	0
zanikanje	0	1	0	1	0	0	0	0	0	0
dezodorant	0	0	0	0	0	0	0	0	0	0
odhod	0	0	0	1	0	0	0	1	0	0
minuli, pokojni	0	1	0	0	0	0	0	1	0	0
oddelek	0	0	0	0	0	0	0	0	0	0
odhod	0	1	0	0	0	0	0	1	0	0
biti odvisen	0	0	0	1	0	0	0	0	0	1
odvisen	0	0	0	0	0	0	0	0	0	0
odvisnost	0	1	0	0	0	1	0	1	0	0
odvisnost	0	1	0	0	0	0	0	0	0	0
odvisen	1	1	0	0	0	0	0	0	0	1
prikazati	0	0	0	0	0	0	0	0	0	0
upodabljanje	0	0	0	0	0	0	0	0	0	0
izčrpavanje	0	0	0	0	0	0	0	0	0	0
klavrn, nedopusten	0	1	1	0	1	1	0	1	0	0
grajati	0	1	1	0	1	0	0	1	0	0
razporediti	0	0	0	0	0	0	0	0	0	0
deportirati	0	1	0	0	0	1	0	1	0	0
deportacija	0	1	1	0	0	1	0	1	0	0
odložiti, polog	0	0	0	0	0	0	0	0	0	0
depozitar, hranilec	0	0	0	0	0	0	0	0	0	0
izjava	0	0	0	0	0	0	0	0	0	0
depozitar	0	0	0	0	0	0	0	0	0	1
skladišče	0	0	0	0	0	0	0	0	0	0
izprijen	0	1	1	1	1	1	0	1	0	0
izprijenost	0	1	1	0	1	0	0	0	0	0
razvrednotiti	0	1	1	0	1	0	0	0	0	0
razvrednoten	0	1	1	0	1	1	0	1	0	0
rezvrednotenje	0	1	0	0	0	1	0	0	0	0
potreti	0	1	0	0	0	1	0	1	0	0
potrt, depresiven	0	1	1	0	0	1	0	1	0	0
depresiven	0	1	0	0	1	0	0	1	0	0
depresija	0	1	0	0	0	0	0	1	0	0
depresiven	0	1	0	0	0	0	0	1	0	0
odvzem	0	1	1	0	1	1	0	1	0	0
globina	1	0	0	0	0	0	0	0	0	1
namestnik	0	0	0	0	0	0	0	0	0	1
iztiriti	0	0	0	0	0	0	0	0	0	0
nuravnovešen	0	1	1	0	1	1	0	0	0	0
zapuščen, brezdomec	0	1	0	0	0	0	0	0	0	0
posmeh	0	1	1	0	1	0	0	0	0	0
poreklo, izpeljava	0	0	0	0	0	0	0	0	0	0
derivat, izpeljanka	0	0	0	0	0	0	0	0	0	0
izpeljati	0	0	0	0	0	0	0	0	0	0
kožen	0	0	0	0	0	0	0	0	0	0
dermatolog	0	0	0	0	0	0	0	0	0	1
dermatologija	0	0	0	0	0	0	0	0	0	0
odstopanje	0	1	1	0	1	1	0	1	0	0
zaničljiv, podcenjevalen	0	1	1	0	1	1	0	1	0	0
spustiti, izvirati	0	0	0	0	0	0	0	0	0	0
potomec	0	0	0	0	0	0	0	0	0	0
spuščajoč, padajoč	0	0	0	0	0	0	0	0	0	0
spuščanje	0	0	0	0	0	0	0	0	0	0
spustiti	0	0	0	0	0	1	0	1	0	0
opisati	0	0	0	0	0	0	0	0	0	0
opis	0	0	0	0	0	0	0	0	0	0
opisen, pregleden, deksriptiven	1	0	0	0	0	0	0	0	0	0
oskrunitev	0	1	1	0	1	1	0	1	0	0
puščava	0	1	1	0	1	1	0	1	0	0
zapuščen	0	1	1	0	1	1	0	1	0	0
dezertacija	0	1	0	0	0	0	0	0	0	0
zaslužiti	1	0	1	1	0	0	0	0	0	1
zaslužen	1	0	0	0	0	0	0	0	0	0
zasluženje	0	0	0	0	0	0	0	0	0	0
oblikovati, oblikovanje, dizajn	0	0	0	0	0	0	0	0	0	0
določiti	0	0	0	0	0	0	0	0	0	0
oznaka	0	0	0	0	0	0	0	0	0	1
načrtovan, zasnovan	0	0	0	0	0	0	0	0	0	0
oblikovalec	1	0	0	0	0	0	0	0	0	0
načrtujoč, načrtovanje	0	0	0	0	0	0	0	0	0	0
zaželenost	0	0	0	0	0	0	0	0	0	0
zaželen	1	0	0	0	0	0	0	0	0	0
želeti si	1	0	0	0	0	0	0	0	0	0
zaželen	1	0	0	0	0	0	0	0	0	0
prenehati	0	1	1	0	1	0	0	0	0	0
miza	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	1	0	0	0	1	0	1	0	0
opustošenje, obup	0	1	1	0	1	1	0	1	0	0
obupan, brezupen	0	1	0	0	0	1	0	1	0	0
pošiljka, poslati	0	0	0	0	0	0	0	0	0	0
obupan	0	1	0	0	0	0	0	0	0	0
obup	0	0	0	0	0	0	0	0	0	0
podel	0	1	1	0	1	0	0	0	0	0
prezirati	0	1	1	0	1	0	0	0	0	0
despotski	0	1	0	0	0	1	0	0	0	0
despotizem	0	1	1	0	1	1	0	1	0	0
sladica	0	0	0	0	0	0	0	0	0	0
cilj, destinacija	1	0	0	1	0	1	1	1	1	0
namenjen	0	0	0	1	0	0	0	0	0	0
usoda	0	0	0	0	0	0	0	0	0	0
brez denarja	0	1	0	0	0	1	0	1	0	0
uničen	0	1	1	0	0	1	0	1	0	0
uničevalec	0	1	1	0	0	1	0	0	0	0
uničiti	0	1	1	0	0	1	0	1	0	0
uničenje	0	1	1	0	0	0	0	0	0	0
uničujoč	0	1	1	0	1	1	0	0	0	0
ločiti	0	0	0	0	0	0	0	0	0	0
ločen	0	0	0	0	0	0	0	0	0	0
nepristranskost	0	1	0	0	0	0	0	0	0	0
podrobnost	0	0	0	0	0	0	0	0	0	0
malenkost, razložiti	0	0	0	0	0	0	0	0	0	0
pridržati	0	1	0	0	0	0	0	0	0	0
pripornik	0	1	1	1	0	1	0	1	0	0
odkriti	1	0	0	0	0	0	0	0	0	0
zaznaven	0	0	0	0	0	0	0	0	0	0
odkrivanje	1	0	0	0	0	0	0	0	0	0
detektiv	0	0	0	0	0	0	0	0	0	0
detektor	0	0	0	0	0	0	0	0	0	0
pridržanje	0	1	0	0	0	0	0	1	0	0
preprečiti, odvrniti	0	0	0	0	0	0	0	0	0	0
detergent	0	0	0	0	0	0	0	0	0	0
propadati	0	1	0	0	0	1	0	1	0	0
razkrojen	0	1	0	0	1	0	0	1	0	0
propad, razpad	0	1	1	0	1	1	0	1	0	0
določljiv	0	0	0	0	0	0	0	0	0	0
določiti	0	0	0	1	0	0	0	0	0	1
odločnost	1	0	0	0	0	0	0	0	0	1
odločen	1	0	0	0	0	0	0	0	0	0
sovražiti	0	1	1	0	1	0	0	0	0	0
detonirati	0	1	0	0	0	1	0	0	1	0
detonacija	0	0	1	0	0	0	0	0	0	0
obvoznica	0	0	0	0	0	0	0	0	0	0
zmanjšati	0	1	1	0	0	0	0	0	0	0
škoda	0	1	0	0	0	0	0	0	0	0
škodljiv	0	1	0	0	0	0	0	0	0	0
detrit, drobir	0	1	0	0	0	0	0	0	0	0
dvojka, izenačenje	0	0	0	0	0	0	0	0	0	0
uničiti	0	1	1	0	0	1	0	1	0	0
uničujoče	0	1	1	0	1	1	0	1	0	1
uničenje	0	1	1	0	0	1	0	1	1	0
razviti	1	0	0	1	0	0	0	0	0	0
v razvoju	0	0	0	0	0	0	0	0	0	0
razvoj	0	0	0	0	0	0	0	0	0	0
odstopiti, oddaljiti	0	0	0	0	0	0	0	0	0	0
odstopajoč	0	0	0	0	0	0	0	0	0	0
odstopanje	0	0	0	0	0	0	0	1	0	0
naprava	0	0	0	0	0	0	0	0	0	0
hudič	0	1	1	1	1	1	0	1	0	0
vražji	0	1	0	0	1	1	0	0	0	0
zahrbten	0	1	0	0	0	0	0	0	0	0
snovati, oporoka	0	0	0	0	0	0	0	0	0	0
brez, lišen	0	0	0	0	0	0	0	0	0	0
decentralizacija	0	1	0	0	0	0	0	0	0	0
prenesti	0	0	0	0	0	0	0	0	0	0
posvetiti	0	0	0	0	0	0	0	0	0	0
občudovalec, ljubitelj	0	0	0	0	0	0	0	0	0	0
pobožen	1	0	0	0	0	0	0	0	0	1
požreti	0	1	0	0	0	0	0	0	0	0
zagrizen	1	0	0	1	0	0	1	0	0	1
rosa	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
spretnost	1	0	0	0	0	0	0	0	0	0
dekstroza	0	0	0	0	0	0	0	0	0	0
hudičev	0	1	1	0	1	1	0	0	0	0
diagnoza	0	1	0	1	0	1	0	0	0	1
diagnostičen	0	0	0	0	0	0	0	0	0	0
diagnostika	0	0	0	0	0	0	0	0	0	0
diagram	0	0	0	0	0	0	0	0	0	0
številčnica, poklicati	0	0	0	0	0	0	0	0	0	0
narečje	0	0	0	0	0	0	0	0	0	0
narečno	0	0	0	0	0	0	0	0	0	0
dialog	0	0	0	0	0	0	0	0	0	0
premer	0	0	0	0	0	0	0	0	0	0
diamant	1	0	0	0	0	0	1	0	0	0
karo	0	0	0	0	0	0	0	0	0	0
plenica	0	0	0	0	1	0	0	0	0	0
prepona, diafragma	0	0	0	0	0	0	0	0	0	0
driska	0	0	0	0	1	0	0	0	0	0
dnevnik	1	0	0	0	0	0	1	0	0	1
obrekovanje, kleveta, klevetanje	0	1	1	0	1	0	0	0	0	0
kocka	0	0	0	0	0	0	0	0	0	0
dihotomen, dihotomičen	0	0	0	0	0	0	0	0	0	0
dihotomija	0	0	0	0	0	0	0	0	0	0
narekovati, ukazati	0	0	0	0	0	0	0	0	0	0
narekovanje, narek, diktat	0	0	0	0	0	0	0	0	0	0
diktator	0	1	0	0	0	1	0	0	0	0
diktatorski	0	1	1	0	0	0	0	0	0	0
diktatura	0	1	1	1	1	1	0	1	0	0
izražanje, slog, dikcija	0	0	0	0	0	0	0	0	0	0
slovar	1	0	0	0	0	0	0	0	0	1
izrek, razglas	0	0	0	0	0	0	0	0	0	1
didaktičen, poučen	1	0	0	0	0	0	0	0	0	0
umreti	0	1	0	0	0	1	0	1	0	0
prehrana, dieta	0	0	0	0	0	0	0	0	0	0
prehranski	1	0	0	1	0	0	0	0	0	0
razlikovati	0	0	0	0	0	0	0	0	0	0
razlika	0	0	0	0	0	0	0	0	0	0
drugačnost	0	0	0	0	0	0	0	0	0	0
razlika	0	0	0	0	0	0	0	0	0	1
razlikovanje, diferenciacija	0	0	0	0	0	0	0	0	0	0
drugače	0	0	0	0	0	0	0	0	1	0
razlikujoč	0	0	0	0	0	0	0	0	0	0
težek	0	0	0	0	0	1	0	0	0	0
težave	0	1	0	0	0	0	0	1	0	0
težava	0	1	1	0	0	1	0	1	0	0
širiti	0	0	0	0	0	0	0	0	0	0
širjenje	0	0	0	0	0	0	0	0	0	0
izkop, kopati	0	0	0	0	0	0	0	0	0	0
prebaviti	0	0	0	0	0	0	0	0	0	0
prebava	0	0	0	0	0	0	0	0	0	0
števka	0	0	0	0	0	0	0	0	0	1
dostojanstven	1	0	0	0	0	0	0	0	0	0
dostojanstvo	1	0	0	0	0	0	0	0	0	1
oddaljiti se, zaiti, zastraniti	0	1	0	1	0	0	0	0	0	0
bajta	0	0	0	0	0	0	0	0	0	0
jarek	0	0	0	0	0	1	0	0	0	0
propadajoč	0	1	0	0	1	0	0	1	0	0
dilatacija	0	0	0	0	0	0	0	0	0	0
razširjenje	0	0	0	0	0	0	0	0	0	0
dilema	0	0	0	0	0	0	0	0	0	0
marljivost	1	0	0	0	0	0	0	0	0	1
skrben	0	0	0	0	0	0	0	0	0	0
redčilo	0	0	0	0	0	0	0	0	0	0
razredčiti	0	1	0	0	0	0	0	0	0	0
razredčen	0	0	0	0	0	0	0	0	0	0
redčenje	0	0	0	0	0	0	0	0	0	0
cent	0	0	0	0	0	0	0	0	0	0
dimenzija	0	0	0	0	0	0	0	0	0	0
zmanjšati	0	1	0	0	0	0	0	1	0	0
zmanjšan	0	1	0	0	0	0	0	0	0	0
zmanjšanje	0	0	0	0	0	0	0	0	0	0
majhen, pomanjševalen, pomanjševalnica	0	0	0	0	0	0	0	0	0	0
ropot	0	1	0	0	0	0	0	0	0	0
večerjati, obedovati	0	0	0	0	0	0	0	0	0	0
okrepčevalnica	0	0	0	0	0	0	0	0	0	0
večerja	1	0	0	0	0	0	0	0	0	0
dinozaver	0	0	0	0	0	1	0	0	0	0
vdolbina	0	0	0	0	0	0	0	0	0	0
škofijski	0	0	0	0	0	0	0	0	0	0
škofija	0	0	0	0	0	0	0	0	0	0
diorama	0	0	0	0	0	0	0	0	0	0
pomakanja, omaka	0	0	0	0	0	0	0	0	0	0
diploma	0	0	0	0	0	0	0	0	0	0
diplomacija	1	0	0	1	0	0	0	0	0	1
diplomat	0	0	0	0	0	0	0	0	0	0
diplomatski	1	0	0	0	0	0	0	0	0	1
grozljiv	0	1	0	0	1	1	0	1	1	0
usmerjen	0	0	0	0	0	0	0	0	0	0
smer	0	0	0	0	0	0	0	0	0	0
neposreden	0	0	0	0	0	0	0	0	0	0
direktor	1	0	0	0	0	0	0	0	0	1
imenik	0	0	0	0	0	0	0	0	0	0
umazanija	0	1	0	0	1	0	0	0	0	0
umazan	0	1	0	0	1	0	0	0	0	0
invalidnost	0	1	0	0	0	0	0	1	0	0
onemogočiti, onesposobiti, izklopiti	0	1	0	0	0	1	0	1	0	0
onemogočen, hendikepiran	0	1	0	0	0	1	0	1	0	0
pomanjkljivost	0	0	0	0	0	0	0	0	0	0
odtujen	0	1	0	0	0	0	0	0	0	0
ne strinjati se	0	1	1	0	0	0	0	0	0	0
neprijeten, zoprn	0	0	0	0	0	0	0	0	0	0
ne ujemajoč, nesoglasen	0	1	1	0	0	0	0	1	0	0
nesoglasje	0	1	1	0	0	0	0	1	0	0
zavrniti	0	0	0	0	0	0	0	0	0	0
zavrnjen	0	1	1	0	1	1	0	1	0	0
izginiti	0	0	0	0	0	1	0	0	0	0
izginotje	0	0	0	0	0	0	0	0	0	0
izginjajoč	0	0	0	0	0	0	0	0	0	0
razočarati	0	1	1	0	1	0	0	1	0	0
razočaran	0	1	1	0	1	0	0	1	0	0
razočarljiv, nezadovoljiv	0	1	0	0	0	0	0	1	0	0
razočaranje	0	1	0	0	1	0	0	1	0	0
neodobravanje	0	1	0	0	0	0	0	1	0	0
nasprotovati	0	1	1	0	1	1	0	1	0	0
zavrnjen	0	1	1	0	0	0	0	1	0	0
neodobravajoč	0	1	1	0	1	0	0	1	0	0
razorožiti	0	0	0	0	0	0	0	0	0	0
nered, zmešnjava	0	0	0	0	0	0	0	0	0	0
katastrofa	0	1	1	0	1	1	0	1	1	0
katastrofalen	0	1	1	0	0	1	0	1	0	0
razpustiti	0	0	0	0	0	0	0	0	0	0
dvom	0	0	0	0	0	0	0	0	0	0
ne verjeti	0	1	0	0	0	0	0	0	0	0
izplačati	0	0	0	0	0	0	0	0	0	0
izplačilo	0	0	0	0	0	0	0	0	0	0
disk	0	0	0	0	0	0	0	0	0	0
zavržen	0	0	0	0	0	0	0	0	0	0
zavreči, izvržek	0	1	0	0	0	0	0	0	0	0
zaznati, spoznati	0	0	0	0	0	0	0	0	0	0
zaznaven, razpoznaven	0	0	0	0	0	0	0	0	0	0
zahteven, kritičen, pronicljiv	0	0	0	0	0	0	0	0	0	0
prefinjenost	0	0	0	0	0	0	0	0	0	0
odpustiti	0	1	0	0	0	0	0	0	0	0
učenec	0	0	0	0	0	0	0	0	0	1
disciplina	0	1	0	0	0	1	0	0	0	0
odreči, zavrniti	0	1	1	0	1	0	0	0	0	1
zavrnitev	0	0	0	0	0	0	0	0	0	0
objaviti, razkriti	0	0	0	0	0	0	0	0	0	0
razkrit	0	0	0	0	0	0	0	0	0	1
objava, razkritje	0	0	0	0	0	0	0	0	0	0
razbarvanje	0	1	0	0	1	0	0	0	0	0
razbarvan	0	1	0	0	1	0	0	1	0	0
nelagodje	0	1	0	0	0	0	0	1	0	0
odklopiti	0	1	0	0	0	0	0	1	0	0
odklopljen	0	1	0	0	0	0	0	1	0	0
odklop	0	1	0	0	0	0	0	0	0	0
nezadovoljstvo	0	1	1	0	1	1	0	1	0	0
prekinitev	0	0	0	0	0	0	0	0	0	0
prekiniti	0	1	0	0	0	0	0	0	0	0
prekinitev	0	1	0	0	1	1	0	1	0	0
nezvezen, prekinjen	0	0	0	0	0	0	0	0	0	0
nesloga	0	1	1	0	1	0	0	0	0	0
popust	0	0	0	0	0	0	0	0	0	0
znižan	0	0	0	0	0	0	0	0	0	0
odvrniti	0	1	0	0	0	1	0	1	0	0
pobit, strt	0	0	0	0	0	0	0	0	0	0
odvračanje	0	1	0	0	0	0	0	0	0	0
diskurz	0	0	0	0	0	0	0	0	0	0
odkriti	0	0	0	0	0	0	0	0	0	0
odkritje	1	0	0	0	0	0	0	0	0	0
zavreči	0	1	0	0	0	0	0	0	0	0
diskreten	1	0	0	1	0	0	0	0	0	0
neskladnost	0	0	0	0	0	0	0	0	0	0
diskreten	0	0	0	0	0	0	0	0	0	0
diskretnost	1	0	0	1	0	0	0	0	0	1
diskrecijski	1	0	0	0	0	0	0	0	0	0
diskriminirati	0	1	1	0	0	0	0	1	0	0
diskriminatoren	0	1	0	0	1	0	0	0	0	0
diskriminacija	0	1	1	0	1	1	0	1	0	0
disk	0	0	0	0	0	0	0	0	0	0
razpravljati	0	0	0	0	0	0	0	0	0	0
diskusija	1	0	0	0	0	0	0	0	0	0
prezir, prezirati	0	1	1	0	1	0	0	0	0	0
bolezen	0	1	1	0	1	1	0	1	0	0
obolel	0	1	0	0	1	1	0	1	0	0
breztelesen	0	1	0	0	0	1	0	1	0	0
osvoboditi, umakniti	0	0	0	0	0	0	0	0	0	0
umik	0	1	0	0	0	0	0	0	0	0
iznakažen	0	1	1	0	1	1	0	1	0	0
sramota	0	1	1	0	1	0	0	1	0	0
osramočen	0	1	1	0	1	0	0	1	0	0
sramoten	0	1	1	0	1	0	0	0	0	0
zlovoljen	0	1	1	0	1	0	0	1	0	0
našemiti, preobleka	0	0	0	0	0	0	0	0	0	0
prikrit	0	0	0	0	0	0	0	0	0	0
gnus, ogorčenje, gnusiti se	0	1	1	0	1	1	0	1	0	0
ogaben, odvraten	0	1	1	0	1	1	0	0	0	0
jed, krožnik	0	0	0	0	0	0	0	0	0	0
potrt	0	1	0	0	0	0	0	1	0	0
odvračajoč	0	1	0	0	0	0	0	1	0	0
nepošten	0	1	1	0	1	0	0	1	0	0
nepoštenost	0	1	0	0	1	0	0	0	0	0
sramota, osramotiti	0	1	1	0	1	1	0	1	0	0
razočaranje	0	1	1	0	1	0	0	1	0	0
razkužiti	0	0	0	0	0	0	0	0	0	0
razkužilo	0	0	0	0	0	0	0	0	0	0
dezinfekcija	1	0	0	0	0	0	0	0	0	0
dezinformacija	0	1	1	0	0	1	0	0	0	0
neodkrit	0	1	0	0	1	0	0	0	0	0
razpadati	0	1	0	0	1	1	0	0	0	0
razpad	0	1	0	0	0	0	0	0	0	0
nezainteresiran	0	1	0	0	0	0	0	0	0	0
razdvojiti	0	0	0	0	0	0	0	0	0	0
nepovezan, razdvojen	0	0	0	0	0	0	0	0	0	0
ločen	0	0	0	0	0	0	0	0	0	0
disk	0	0	0	0	0	0	0	0	0	0
disketa	0	0	0	0	0	0	0	0	0	0
ne marati, odpor, antipatija	0	1	1	0	1	0	0	0	0	0
nevšečen	0	1	1	0	0	0	0	1	0	0
dislociran, izpahnjen	0	1	1	0	1	1	0	1	0	0
izpah	0	0	0	0	0	0	0	0	0	0
premakniti, izriniti	0	0	0	0	0	0	0	0	0	0
mračen	0	1	0	0	1	1	0	1	0	0
zaprepadenost, presenetiti	0	1	1	1	0	1	0	1	1	0
razčetverjanje, razkosavanje	0	1	0	0	1	1	0	1	0	0
odpustiti, zavrniti	0	0	0	0	0	0	0	0	0	0
neupoštevanje	0	1	1	0	1	1	0	1	1	0
sestopiti	0	0	0	0	0	0	0	0	0	0
neposlušnost	0	1	1	0	1	0	0	0	0	0
neposlušen	0	1	1	0	0	0	0	0	0	0
ne ubogati	0	1	1	0	1	0	0	0	0	0
nered	0	1	0	0	0	1	0	0	0	0
neurejen	0	1	0	0	0	0	0	0	0	0
neorganiziran	0	1	0	0	0	0	0	0	0	0
omalovaževati	0	1	1	0	1	0	0	1	0	0
zaničljiv	0	1	1	0	1	0	0	1	0	0
različen	0	0	0	0	0	0	0	0	0	0
neskladje	0	1	1	0	1	0	0	1	0	0
brezčuten	0	1	0	0	0	0	0	1	0	0
pošiljka, poročilo	0	0	0	0	0	0	0	0	0	0
pregnati	0	1	0	0	0	0	0	1	0	0
dovoljenje	0	0	0	0	0	0	0	0	0	0
deliti	0	0	0	0	0	0	0	0	0	0
razpršiti	0	0	0	0	0	0	0	0	0	0
razpršen	0	0	0	0	0	0	0	0	0	0
razdeljevanje	0	1	0	0	0	0	0	0	0	0
izpodriniti	0	1	0	0	0	0	0	0	0	0
izpodrinjen	0	0	1	0	0	1	0	1	0	0
prestavitev	0	0	0	0	0	0	0	0	0	0
razkazati, prikaz, zaslon	0	0	0	0	0	0	0	0	0	0
razžaljen	0	1	1	0	1	1	0	1	0	0
nezadovoljstvo	0	1	0	0	1	0	0	0	0	0
odstranjevanje	0	1	0	0	0	0	0	0	0	0
odvreči	0	0	0	0	1	0	0	0	0	0
urejen, razporejen, organiziran	1	0	0	1	0	0	0	0	0	1
narava, uredba	0	0	0	0	0	0	0	0	0	0
razlaščen	0	1	1	0	0	1	0	1	0	0
ovreči	0	0	0	0	0	0	0	0	0	0
spor	0	1	1	0	0	0	0	0	0	0
diskvalifikacija	0	1	0	0	0	0	0	0	0	0
diskvalificiran	0	1	1	0	1	0	0	1	0	0
diskvalificirati	0	1	0	0	0	0	0	1	0	0
ne upoštevati, neupoštevanje	0	1	0	0	0	0	0	0	0	0
neupoštevan	0	1	0	0	1	0	0	0	0	0
razvpit	0	1	1	0	1	1	0	0	0	0
