"English (en)...1"	"German (de)"	"Slovenian (sl)"	"Positive"	"Negative"	"Anger"	"Anticipation"	"Disgust"	"Fear"	"Joy"	"Sadness"	"Surprise"	"Trust"
"compatible"	"kompatibel"	"združljiv"	1	0	0	0	0	0	0	0	0	0
"compel"	"zwingen"	"prisiliti"	0	0	0	0	0	0	0	0	0	0
"compelled"	"gezwungen"	"prisiljeni"	0	0	0	0	0	0	0	0	0	0
"compelling"	"zwingend"	"prepričljiv"	1	0	0	0	0	0	0	0	0	0
"compendium"	"Kompendium"	"kompendij"	0	0	0	0	0	0	0	0	0	0
"compensate"	"kompensieren"	"kompenzirati"	1	0	0	1	0	0	1	0	1	1
"compensation"	"Vergütung"	"nadomestilo"	0	0	0	0	0	0	0	0	0	0
"compensatory"	"Ausgleichs"	"kompenzacijsko"	1	0	0	0	0	0	0	0	0	0
"competence"	"Kompetenz"	"pristojnosti"	1	0	0	0	0	0	0	0	0	1
"competency"	"Kompetenz"	"usposobljenosti"	1	0	0	0	0	0	0	0	0	1
"competent"	"kompetent"	"pristojni"	1	0	0	0	0	0	0	0	0	1
"competition"	"Wettbewerb"	"tekmovanje"	0	1	0	1	0	0	0	0	0	0
"competitive"	"wettbewerbsfähig"	"konkurenčno"	0	0	0	0	0	0	0	0	0	0
"competitor"	"Wettbewerber"	"tekmovalec"	0	0	0	0	0	0	0	0	0	0
"compilation"	"Zusammenstellung"	"kompilacija"	0	0	0	0	0	0	0	0	0	0
"compile"	"kompilieren"	"zbiranje"	0	0	0	0	0	0	0	0	0	0
"complacency"	"Selbstzufriedenheit"	"samozadovoljstvo"	1	0	0	0	0	0	0	0	0	0
"complacent"	"selbstgefällig"	"samozadovoljni"	0	0	0	0	0	0	0	0	0	0
"complain"	"beschweren"	"pritožite"	0	1	1	0	0	0	0	1	0	0
"complaint"	"Beschwerde"	"pritožba"	0	1	1	0	0	0	0	0	0	0
"complement"	"ergänzen"	"dopolnilo"	1	0	0	1	0	0	1	0	1	1
"complementary"	"komplementär"	"komplementarno"	1	0	0	0	0	0	0	0	0	0
"completed"	"abgeschlossen"	"zaključen"	0	0	0	0	0	0	0	0	0	0
"completely"	"vollständig"	"popolnoma"	1	0	0	0	0	0	0	0	0	0
"completeness"	"Vollständigkeit"	"popolnost"	1	0	0	0	0	0	0	0	0	0
"completing"	"vervollständigen"	"dokončanje"	1	0	0	1	0	0	1	0	0	0
"completion"	"Fertigstellung"	"zaključek"	1	0	0	1	0	0	1	0	0	0
"complex"	"Komplex"	"kompleksno"	0	0	0	0	0	0	0	0	0	0
"complexed"	"komplexiert"	"kompleksno"	0	1	0	0	0	0	0	0	0	0
"complexion"	"Teint"	"polt"	0	0	0	0	0	0	0	0	0	0
"complexity"	"Komplexität"	"kompleksnost"	0	1	0	0	0	0	0	0	0	0
"compliance"	"Beachtung"	"skladnost"	1	0	0	0	0	0	0	0	0	1
"compliant"	"konform"	"skladno"	1	0	0	0	0	0	0	0	0	0
"complicate"	"komplizieren"	"zapleti"	0	1	1	0	0	0	0	0	0	0
"complicated"	"kompliziert"	"zapleteno"	0	1	0	0	0	0	0	0	0	0
"complication"	"Komplikation"	"zaplet"	0	1	0	0	0	0	0	0	0	0
"complicity"	"Mittäterschaft"	"sosedi"	1	1	0	0	0	0	0	0	0	0
"compliment"	"NO TRANSLATION"	"NO TRANSLATION"	1	0	0	1	0	0	1	0	1	1
"comply"	"einhalten"	"izpolnjevati"	0	0	0	0	0	0	0	0	0	0
"complying"	"einhalten"	"skladnost"	0	0	0	0	0	0	0	0	0	0
"compo"	"komponieren"	"compo"	0	0	0	0	0	0	0	0	0	0
"component"	"Komponente"	"komponento"	0	0	0	0	0	0	0	0	0	0
"compose"	"komponieren"	"sestavite"	0	0	0	0	0	0	0	0	0	0
"composed"	"zusammengesetzt"	"sestavljeno"	1	0	0	0	0	0	0	0	0	0
"composer"	"Komponist"	"skladatelj"	1	0	0	0	0	0	0	0	0	0
"composite"	"zusammengesetzt"	"kompozit"	0	0	0	0	0	0	0	0	0	0
"composition"	"Zusammensetzung"	"sestava"	0	0	0	0	0	0	0	0	0	0
"compost"	"Kompost"	"kompost"	0	1	0	0	1	0	0	0	0	0
"composure"	"Gelassenheit"	"spoštovanje"	1	0	0	0	0	0	0	0	0	0
"compound"	"Verbindung"	"spojina"	0	0	0	0	0	0	0	0	0	0
"comprehend"	"begreifen"	"razumeti"	1	0	0	0	0	0	0	0	0	0
"comprehension"	"Verständnis"	"razumevanje"	0	0	0	0	0	0	0	0	0	0
"comprehensive"	"umfassend"	"celovito"	1	0	0	0	0	0	0	0	0	0
"compress"	"Kompresse"	"stisniti"	0	0	1	0	0	0	0	0	0	0
"compressed"	"komprimiert"	"stisnjen"	0	0	0	0	0	0	0	0	0	0
"compressible"	"komprimierbar"	"stisljiv"	0	0	0	0	0	0	0	0	0	0
"compression"	"Kompression"	"stiskanje"	0	0	0	0	0	0	0	0	0	0
"comprise"	"umfassen"	"sestavljajo"	0	0	0	0	0	0	0	0	0	0
"compromise"	"Kompromiss"	"kompromis"	0	0	0	0	0	0	0	0	0	0
"comptroller"	"Rechnungsprüfer"	"nadzornik"	0	0	0	0	0	0	0	0	0	1
"compulsion"	"Zwang"	"prisiljenost"	0	1	1	0	0	0	0	0	0	0
"compulsory"	"verpflichtend"	"obvezno"	0	1	0	0	0	0	0	0	0	0
"computable"	"berechenbar"	"izračuno"	0	0	0	0	0	0	0	0	0	0
"computation"	"Berechnung"	"računanje"	0	0	0	0	0	0	0	0	0	0
"compute"	"berechnen"	"računati"	0	0	0	0	0	0	0	0	0	0
"computer"	"Computer"	"računalnik"	0	0	0	0	0	0	0	0	0	0
"comrade"	"Genosse"	"tovariš"	1	0	0	0	0	0	0	0	0	1
"con"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"concatenation"	"Verkettung"	"koncenacija"	0	0	0	0	0	0	0	0	0	0
"concave"	"konkav"	"konkavno"	0	0	0	0	0	0	0	0	0	0
"conceal"	"verbergen"	"skrivaj"	0	1	0	0	0	0	0	1	0	0
"concealed"	"verborgen"	"skrito"	0	1	0	1	0	1	0	0	1	0
"concealment"	"Verstecken"	"prikrivanje"	0	1	1	1	0	1	0	0	0	0
"conceit"	"Einbildung"	"predsodka"	0	1	0	0	0	0	0	0	0	0
"conceited"	"eingebildet"	"zamišljen"	0	1	0	0	0	0	0	0	0	0
"conceivable"	"denkbar"	"mogoče zamisliti"	0	0	0	0	0	0	0	0	0	0
"concentrate"	"konzentrieren"	"osredotočiti"	0	0	0	0	0	0	0	0	0	0
"concentration"	"Konzentration"	"koncentracija"	0	0	0	0	0	0	0	0	0	0
"concentric"	"konzentrisch"	"koncentrično"	1	0	0	0	0	0	0	0	0	0
"conception"	"Konzeption"	"pojmovanje"	0	0	0	0	0	0	0	0	0	0
"concern"	"Besorgnis, Sorge"	"skrb"	0	0	0	0	0	0	0	0	0	0
"concerned"	"besorgt"	"zadevnega"	0	0	0	0	0	1	0	1	0	0
"concert"	"Konzert"	"koncert"	0	0	0	0	0	0	0	0	0	0
"concession"	"Konzession"	"koncesija"	0	0	0	0	0	0	0	0	0	0
"concessional"	"konzessionell"	"ugodno"	0	0	0	0	0	0	0	0	0	0
"concierge"	"Portier"	"Vrba"	0	0	0	0	0	0	0	0	0	0
"conciliation"	"Schlichtung"	"spravni postopek"	1	0	0	0	0	0	1	0	0	1
"concise"	"prägnant"	"jedrnato"	0	0	0	0	0	0	0	0	0	0
"conclave"	"Konklave"	"conclave"	0	0	0	0	0	0	0	0	0	0
"conclude"	"daraus schließen"	"zaključiti"	0	0	0	0	0	0	0	0	0	0
"concluding"	"abschließend"	"sklepanje"	1	0	0	0	0	0	0	0	0	0
"conclusion"	"Fazit"	"zaključek"	0	0	0	0	0	0	0	0	0	0
"concoction"	"Gebräu"	"izmišljotina"	0	0	0	0	0	0	0	0	0	0
"concomitant"	"gleichzeitig"	"sočasno"	0	0	0	0	0	0	0	0	0	0
"concord"	"Eintracht"	"concord"	1	0	0	0	0	0	0	0	0	1
"concordance"	"Konkordanz"	"skladnost"	1	0	0	0	0	0	0	0	0	1
"concours"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"concourse"	"Bahnhofshalle"	"konvencija"	0	0	0	0	0	0	0	0	0	0
"concrete"	"Beton"	"beton"	0	0	0	0	0	0	0	0	0	0
"concurrence"	"Gleichzeitigkeit"	"sovraštvo"	0	0	0	0	0	0	0	0	0	0
"concurrent"	"gleichzeitig"	"sočasno"	0	0	0	0	0	0	0	0	0	0
"concurring"	"übereinstimmend"	"sovpadajoče"	0	0	0	0	0	0	0	0	0	0
"concussion"	"Gehirnerschütterung"	"pretres možganov"	0	1	1	0	0	0	0	1	0	0
"condemn"	"verurteilen"	"obsojaj"	0	1	1	0	0	0	0	0	0	0
"condemnation"	"Verurteilung"	"obsodba"	0	1	1	1	1	1	0	1	0	0
"condensation"	"Kondensation"	"kondenzacija"	0	0	0	0	0	0	0	0	0	0
"condensed"	"kondensiert"	"kondenzirano"	0	0	0	0	0	0	0	0	0	0
"condescending"	"herablassend"	"kljubovanje"	0	1	0	0	0	0	0	0	0	0
"condescension"	"Herablassung"	"zmedenost"	0	1	1	0	1	0	0	1	0	0
"condiment"	"Würze"	"začimbe"	0	0	0	0	0	0	0	0	0	0
"condition"	"Bedingung"	"stanje"	0	0	0	0	0	0	0	0	0	0
"conditional"	"bedingt"	"pogojno"	0	0	0	0	0	0	0	0	0	0
"conditionally"	"bedingt"	"pogojno"	0	0	0	0	0	0	0	0	0	0
"conditioned"	"bedingt"	"kondicioniran"	0	0	0	0	0	0	0	0	0	0
"conditions"	"Bedingungen"	"pogoji"	0	0	0	0	0	0	0	0	0	0
"condolence"	"Beileid"	"sožalje"	1	0	0	0	0	0	0	1	0	0
"condone"	"dulden"	"obljubi"	1	0	0	0	0	0	0	0	0	0
"conducive"	"förderlich"	"ugodno"	1	0	0	0	0	0	0	0	0	0
"conduct"	"Verhalten"	"ravnanje"	0	0	0	0	0	0	0	0	0	0
"conduction"	"Leitung"	"prevod"	0	0	0	0	0	0	0	0	0	0
"conductivity"	"Leitfähigkeit"	"prevodnost"	1	0	0	0	0	0	0	0	0	0
"conductor"	"Dirigent"	"dirigent"	0	0	0	0	0	0	0	0	0	0
"conduit"	"Leitung"	"cevovod"	0	0	0	0	0	0	0	0	0	0
"cone"	"Kegel"	"stožec"	0	0	0	0	0	0	0	0	0	0
"confederate"	"verbündet"	"konfederat"	1	0	0	0	0	0	0	0	0	1
"confederation"	"Eidgenossenschaft"	"konfederacija"	0	0	0	0	0	0	0	0	0	0
"confer"	"verleihen"	"podeliti"	0	0	0	0	0	0	0	0	0	0
"conference"	"Konferenz"	"konferenca"	0	0	0	0	0	0	0	0	0	0
"confess"	"bekennen"	"priznaj"	1	1	0	0	0	0	0	0	0	1
"confession"	"Bekenntnis"	"priznanje"	0	1	0	1	0	1	0	1	1	0
"confessional"	"Beichtstuhl"	"konfesionalno"	0	0	0	0	0	1	0	0	0	1
"confessions"	"Geständnisse"	"priznanja"	0	0	0	0	0	0	0	0	0	0
"confide"	"vertrauen"	"zaupaj"	0	0	0	0	0	0	0	0	0	1
"confidence"	"Vertrauen"	"zaupanje"	1	0	0	0	0	1	1	0	0	1
"confident"	"zuversichtlich"	"samozavesten"	1	0	0	0	0	0	1	0	0	1
"confidential"	"geheim"	"zaupno"	0	0	0	0	0	0	0	0	0	1
"confidentially"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	1
"configuration"	"Aufbau"	"konfiguracijo"	0	0	0	0	0	0	0	0	0	0
"confine"	"beschränken"	"omejiti"	0	1	1	0	0	1	0	1	0	0
"confined"	"beschränkt"	"omejeno"	0	1	1	0	1	1	0	1	0	0
"confinement"	"Beschränkung"	"zaprtje"	0	1	1	0	0	1	0	1	0	0
"confines"	"Grenzen"	"omejitve"	0	0	0	0	0	0	0	0	0	0
"confirm"	"bestätigen"	"potrdite"	0	0	0	0	0	0	0	0	0	0
"confirmation"	"Bestätigung"	"potrditev"	0	0	0	0	0	0	0	0	0	1
"confirmatory"	"bestätigend"	"potrditveno"	0	0	0	0	0	0	0	0	0	0
"confirmed"	"Bestätigt"	"potrjeno"	1	0	0	0	0	0	0	0	0	1
"confiscate"	"beschlagnahmen"	"zapleniti"	0	1	1	0	0	0	0	1	0	0
"confiscation"	"Beschlagnahme"	"zaplemba"	0	1	0	0	0	0	0	0	0	0
"conflagration"	"Feuersbrunst"	"požar"	0	1	1	0	0	1	0	0	0	0
"conflict"	"Konflikt"	"konflikt"	0	1	1	0	0	1	0	1	0	0
"conflicting"	"in Konflikt"	"nasprotujoče si"	0	1	0	0	0	0	0	0	0	0
"confluence"	"Zusammenfluss"	"sotočje"	0	0	0	0	0	0	0	0	0	0
"conformance"	"Konformität"	"skladnost"	1	0	0	0	0	0	0	0	0	0
"conformation"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"conformity"	"Konformität"	"skladnost"	0	0	0	0	0	0	0	0	0	1
"confound"	"verwechseln"	"zmeden"	0	1	0	0	0	0	0	0	0	0
"confounded"	"verwirrt"	"zmeden"	0	1	0	0	0	0	0	0	0	0
"confront"	"konfrontieren"	"soočiti se"	0	0	1	0	0	0	0	0	0	0
"confuse"	"verwechseln"	"zmedo"	0	1	0	0	0	0	0	0	0	0
"confusion"	"Verwechslung"	"zmedenost"	0	1	1	0	0	1	0	0	0	0
"congenial"	"sympathisch"	"primerno"	1	0	0	0	0	0	0	0	0	0
"congenital"	"angeboren"	"prirojeno"	0	0	0	0	0	0	0	0	0	0
"congestion"	"Stau"	"preobremenjenost"	0	1	0	0	0	0	0	0	0	0
"conglomerate"	"Konglomerat"	"konglomerat"	0	0	0	0	0	0	0	0	0	1
"conglomeration"	"Konglomerat"	"konglomeracija"	0	0	0	0	0	0	0	0	0	0
"congratulatory"	"Glückwunsch"	"čestitam"	1	0	0	0	0	0	1	0	0	0
"congregate"	"versammeln"	"zbere se"	0	0	0	0	0	0	0	0	0	0
"congregation"	"Gemeinde"	"skupnost"	1	0	0	0	0	0	0	0	0	1
"congress"	"Kongress"	"kongres"	0	0	0	0	1	0	0	0	0	1
"congressional"	"Kongress-"	"kongresni"	0	0	0	0	0	0	0	0	0	0
"congressman"	"Kongressabgeordnete"	"kongresmen"	0	0	0	0	0	0	0	0	0	1
"congruence"	"Kongruenz"	"skladnost"	1	0	0	0	0	0	0	0	0	1
"conic"	"konisch"	"stožčasto"	0	0	0	0	0	0	0	0	0	0
"conical"	"konisch"	"konično"	0	0	0	0	0	0	0	0	0	0
"conjecture"	"Vermutung"	"domneva"	0	0	0	1	0	0	0	0	0	0
"conjugal"	"ehelich"	"konjugal"	0	0	0	0	0	0	0	0	0	0
"conjugate"	"konjugieren"	"konjugat"	0	0	0	0	0	0	0	0	0	0
"conjugation"	"Konjugation"	"konjugacija"	0	0	0	0	0	0	0	0	0	0
"conjunction"	"Verbindung"	"konjunkcija"	0	0	0	0	0	0	0	0	0	0
"conjunctive"	"konjunktiv"	"konjunktivno"	0	0	0	0	0	0	0	0	0	0
"conjure"	"zaubern"	"povedati"	0	0	0	1	0	0	0	0	1	0
"conjuring"	"beschwörend"	"pričaranje"	0	1	0	0	0	0	0	0	0	0
"connect"	"verbinden"	"povezati"	0	0	0	0	0	0	0	0	0	0
"connected"	"in Verbindung gebracht"	"povezan"	0	0	0	0	0	0	0	0	0	0
"connection"	"Verbindung"	"povezavo"	0	0	0	0	0	0	0	0	0	0
"connective"	"verbindend"	"vezni"	0	0	0	0	0	0	0	0	0	1
"connoisseur"	"Kenner"	"poznavalec"	1	0	0	0	0	0	1	0	0	1
"conquer"	"erobern"	"osvojiti"	0	0	0	0	0	0	0	0	0	0
"conqueror"	"Eroberer"	"osvajalec"	0	0	0	0	0	0	0	0	0	0
"conquest"	"Eroberung"	"osvajanje"	0	1	1	0	0	1	0	0	0	0
"conscience"	"Gewissen"	"vest"	1	0	0	0	0	0	0	0	0	1
"conscientious"	"gewissenhaft"	"vestno"	1	0	0	0	0	0	0	0	0	1
"consciousness"	"Bewusstsein"	"zavest"	1	0	0	0	0	0	0	0	0	0
"conscription"	"Wehrpflicht"	"povabilo"	0	0	0	0	0	0	0	0	0	0
"consecration"	"Weihe"	"posvečenje"	1	0	0	1	0	0	1	1	0	1
"consecutive"	"aufeinanderfolgenden"	"zaporedno"	0	0	0	0	0	0	0	0	0	0
"consent"	"Zustimmung"	"soglasje"	0	0	0	0	0	0	0	0	0	0
"consenting"	"zustimmend"	"soglasje"	0	0	0	0	0	0	0	0	0	0
"consequence"	"Folge"	"posledica"	0	0	0	0	0	0	0	0	0	0
"consequent"	"konsequent"	"posledično"	0	0	0	1	0	0	0	0	0	0
"conservation"	"Erhaltung"	"ohranjanje"	1	0	0	1	0	0	0	0	0	1
"conservatism"	"Konservatismus"	"konzervativizem"	0	0	0	0	0	0	0	0	0	0
"conservative"	"konservativ"	"konzervativno"	0	0	0	0	0	0	0	0	0	0
"conservatory"	"Wintergarten"	"konzervatorij"	0	0	0	0	0	0	0	0	0	0
"conserve"	"sparen"	"ohraniti"	1	0	0	0	0	0	0	0	0	0
"considerable"	"beträchtlich"	"precej"	1	0	0	0	0	0	0	0	0	0
"considerate"	"rücksichtsvoll"	"pozoren"	1	0	0	0	0	0	0	0	0	1
"consignee"	"Empfänger"	"prejemnik"	0	0	0	0	0	0	0	0	0	0
"consignment"	"Sendung"	"pošiljko"	0	0	0	0	0	0	0	0	0	0
"consistency"	"Konsistenz"	"doslednost"	1	0	0	0	0	0	0	0	0	1
"consistent"	"konsistent"	"dosledno"	0	0	0	0	0	0	0	0	0	0
"consolation"	"Trost"	"Uteh"	0	0	0	0	0	0	0	0	0	0
"console"	"Konsole"	"konzola"	1	0	0	0	0	0	0	1	0	0
"consolidate"	"konsolidieren"	"konsolidirati"	0	0	0	0	0	0	0	0	0	0
"consolidation"	"Konsolidierung"	"konsolidacija"	0	0	0	0	0	0	0	0	0	0
"consonant"	"Konsonant"	"soglasnik"	1	0	0	0	0	0	0	0	0	0
"consort"	"Gemahlin"	"soseda"	0	0	0	0	0	0	0	0	0	1
"conspicuous"	"auffällig"	"vidno"	0	0	0	0	0	0	0	0	0	0
"conspiracy"	"Verschwörung"	"zarote"	0	0	0	0	0	1	0	0	0	0
"conspirator"	"Verschwörer"	"zaviralec"	0	1	1	1	1	1	0	0	0	0
"conspire"	"verschwören sich"	"zavzemati"	0	1	0	0	0	1	0	0	0	0
"constable"	"Polizist"	"policaj"	0	0	0	0	0	0	0	0	0	1
"constancy"	"Konstanz"	"konstantnost"	1	0	0	0	0	0	0	0	0	1
"constant"	"Konstante"	"konstantno"	1	0	0	0	0	0	0	0	0	1
"constantly"	"ständig"	"nenehno"	0	0	0	0	0	0	0	0	0	1
"constellation"	"Konstellation"	"ozvezdje"	0	0	0	0	0	0	0	0	0	0
"consternation"	"Bestürzung"	"preudarnost"	0	1	1	0	0	1	0	0	0	0
"constipation"	"Verstopfung"	"zaprtje"	0	1	0	0	1	0	0	0	0	0
"constituent"	"Bestandteil"	"sestavni del"	0	0	0	0	0	0	0	0	0	0
"constituents"	"Bestandteile"	"sestavine"	0	0	0	0	0	0	0	0	0	0
"constitute"	"bilden"	"predstavljajo"	0	0	0	0	0	0	0	0	0	1
"constitution"	"Verfassung"	"ustave"	0	0	0	0	0	0	0	0	0	0
"constitutional"	"konstitutionelle"	"ustavno"	1	0	0	0	0	0	0	0	0	1
"constitutionality"	"Verfassungsmäßigkeit"	"ustavnost"	0	0	0	0	0	0	0	0	0	0
"constrain"	"einschränken"	"omejiti"	0	1	0	0	0	1	0	0	0	0
"constrained"	"eingeschränkt"	"omejen"	0	1	0	0	0	0	0	0	0	0
"constraint"	"Zwang"	"omejitev"	0	1	1	0	0	1	0	1	0	0
"construct"	"bauen"	"konstrukt"	1	0	0	0	0	0	0	0	0	0
"construction"	"Konstruktion"	"Gradnja"	0	0	0	0	0	0	0	0	0	0
"construe"	"konstruieren"	"interpretirati"	0	0	0	0	0	0	0	0	0	0
"consul"	"Konsul"	"konzul"	0	0	0	0	0	0	0	0	0	1
"consult"	"konsultieren"	"posvetujte se"	0	0	0	0	0	0	0	0	0	1
"consultation"	"Beratung"	"posvetovanje"	0	0	0	0	0	0	0	0	0	0
"consume"	"verbrauchen"	"porabijo"	0	0	0	0	0	0	0	0	0	0
"consuming"	"aufwendig"	"porabi"	0	0	0	0	0	0	0	0	0	0
"consummate"	"vollendet"	"Vzoren"	1	0	0	0	0	0	0	0	0	0
"consummation"	"Vollendung"	"poraba"	0	0	0	0	0	0	0	0	0	0
"consumption"	"Verbrauch"	"poraba"	0	0	0	0	0	0	0	0	0	0
"contact"	"Kontakt"	"stik"	1	0	0	0	0	0	0	0	0	0
"contagion"	"Ansteckung"	"okužba"	0	1	0	1	1	1	0	0	0	0
"contagious"	"ansteckend"	"nalezljivo"	0	1	0	0	1	1	0	0	0	0
"containment"	"Eindämmung"	"Vsebovanje"	0	0	0	0	0	0	0	0	0	0
"contaminate"	"verunreinigen"	"kontaminirati"	0	1	0	0	1	0	0	0	0	0
"contaminated"	"kontaminiert"	"kontaminirano"	0	1	0	0	1	1	0	1	0	0
"contamination"	"Kontamination"	"kontaminacija"	0	1	0	0	1	0	0	0	0	0
"contemplate"	"betrachten"	"razmišljam"	0	0	0	0	0	0	0	0	0	0
"contemplation"	"Betrachtung"	"razmišljanje"	1	0	0	0	0	0	0	0	0	0
"contemplative"	"kontemplativ"	"kontemplativno"	0	0	0	0	0	0	0	0	0	0
"contemporaneous"	"gleichzeitig"	"sodobno"	0	0	0	0	0	0	0	0	0	0
"contemporary"	"zeitgenössisch"	"sodobno"	0	0	0	0	0	0	0	0	0	0
"contempt"	"Verachtung"	"prezir"	0	1	1	0	1	1	0	0	0	0
"contemptible"	"verächtlich"	"zanemarljivo"	0	1	1	0	1	0	0	0	0	0
"contemptuous"	"verächtlich"	"prezir"	0	1	1	0	0	0	0	0	0	0
"contending"	"konkurrierende"	"nasprotuje"	0	0	0	0	0	0	0	0	0	0
"content"	"Inhalt"	"vsebino"	1	0	0	0	0	0	1	0	0	1
"contention"	"Streit"	"spor"	0	0	0	0	0	0	0	0	0	0
"contentious"	"strittig"	"sporno"	0	1	1	0	1	1	0	0	0	0
"contents"	"Inhalt"	"vsebine"	0	0	0	0	0	0	0	0	0	0
"context"	"Kontext"	"kontekst"	0	0	0	0	0	0	0	0	0	0
"contiguous"	"zusammenhängend"	"sosednje"	0	0	0	0	0	0	0	0	0	0
"continence"	"Kontinenz"	"kontinenca"	0	0	0	0	0	0	0	0	0	0
"continent"	"Kontinent"	"celina"	0	0	0	0	0	0	0	0	0	0
"continental"	"kontinental"	"kontinentalno"	0	0	0	0	0	0	0	0	0	0
"contingency"	"Kontingenz"	"nepredvidljivost"	0	0	0	0	0	0	0	0	0	0
"contingent"	"Kontingent"	"kontingenta"	0	0	0	1	0	0	0	0	0	0
"continual"	"kontinuierlich"	"stalno"	0	0	0	0	0	0	0	0	0	0
"continually"	"ständig"	"nenehno"	0	0	0	0	0	0	0	0	0	0
"continuance"	"Bestand"	"nadaljevanje"	0	0	0	0	0	0	0	0	0	0
"continuation"	"Fortsetzung"	"nadaljevanje"	0	0	0	1	0	0	0	0	0	0
"continue"	"fortsetzen"	"nadaljuj"	1	0	0	1	0	0	0	0	0	1
"continued"	"Fortsetzung"	"nadaljevano"	0	0	0	0	0	0	0	0	0	0
"continuing"	"auch weiterhin"	"nadaljevanje"	0	0	0	0	0	0	0	0	0	0
"continuity"	"Kontinuität"	"kontinuiteto"	0	0	0	0	0	0	0	0	0	0
"continuous"	"kontinuierlich"	"neprekinjeno"	0	0	0	0	0	0	0	0	0	0
"continuously"	"ständig"	"stalno"	0	0	0	0	0	0	0	0	0	0
"contour"	"Kontur"	"kontura"	1	0	0	0	0	0	0	0	0	0
"contraband"	"Schmuggelware"	"kontraband"	0	1	1	0	1	1	0	0	0	0
"contract"	"Vertrag"	"pogodbe"	0	0	0	0	0	0	0	0	0	0
"contracted"	"Vertrag abgeschlossen"	"pogodbeno"	0	1	0	0	0	0	0	0	0	0
"contractile"	"kontraktil"	"pogodbeno"	0	0	0	0	0	0	0	0	0	0
"contracting"	"kontrahierend"	"pogodbeno delo"	0	0	0	0	0	0	0	0	0	0
"contraction"	"Kontraktion"	"krčenje"	0	0	0	0	0	0	0	0	0	0
"contradict"	"widersprechen"	"nasprotujoče si"	0	1	1	0	0	0	0	0	0	0
"contradiction"	"Widerspruch"	"protislovje"	0	1	0	0	0	0	0	0	0	0
"contradictory"	"widersprüchlich"	"protislovno"	0	1	0	0	0	0	0	0	0	0
"contrary"	"Gegenteil"	"nasprotno"	0	1	0	0	0	0	0	0	0	0
"contrast"	"Kontrast"	"kontrast"	0	0	0	0	0	0	0	0	0	0
"contrasted"	"kontrastiert"	"nasprotno"	0	1	0	0	0	0	0	0	0	0
"contravene"	"verstoßen"	"v nasprotju"	0	1	0	0	0	0	0	0	0	0
"contravention"	"Zuwiderhandlung"	"kršitev"	0	1	0	0	0	0	0	0	0	0
"contribute"	"beitragen"	"prispevati"	1	0	0	0	0	0	0	0	0	0
"contributor"	"Mitwirkende"	"sodelavec"	1	0	0	0	0	0	0	0	0	1
"contrived"	"gekünstelt"	"utemeljeno"	0	0	0	0	0	0	0	0	0	0
"control"	"Steuerung"	"nadzor"	0	0	0	0	0	0	0	0	0	0
"controversial"	"umstritten"	"sporno"	0	1	1	0	0	0	0	0	0	0
"controversy"	"Kontroverse"	"Polemika"	0	1	0	0	0	0	0	0	0	0
"conundrum"	"Rätsel"	"zagonetka"	0	0	0	0	0	0	0	0	0	0
"convalescent"	"Genesender"	"okrevanje"	0	0	0	0	0	0	0	0	0	0
"convection"	"Konvektion"	"konvekcija"	0	0	0	0	0	0	0	0	0	0
"convene"	"einberufen"	"sklicuj"	0	0	0	0	0	0	0	0	0	0
"convenience"	"Bequemlichkeit"	"udobje"	1	0	0	0	0	0	0	0	0	0
"conveniences"	"Bequemlichkeiten"	"udobje"	0	0	0	0	0	0	0	0	0	0
"convenient"	"praktisch"	"priročno"	1	0	0	0	0	0	0	0	0	0
"convent"	"Kloster"	"samostan"	1	0	0	0	0	0	0	0	0	1
"convention"	"Konvention"	"konvencija"	1	0	0	0	0	0	0	0	0	0
"conventional"	"konventionell"	"konvencionalno"	0	0	0	0	0	0	0	0	0	0
"converge"	"konvergieren"	"konvergirati"	0	0	0	0	0	0	0	0	0	0
"convergence"	"Konvergenz"	"konvergenca"	0	0	0	1	0	0	0	0	0	0
"convergent"	"konvergent"	"konvergentno"	0	0	0	0	0	0	0	0	0	0
"conversant"	"vertraut"	"spremljevalec"	1	0	0	0	0	0	0	0	0	0
"conversation"	"Konversation"	"pogovor"	0	0	0	0	0	0	0	0	0	0
"conversational"	"Konversation"	"pogovorno"	1	0	0	0	0	0	0	0	0	0
"converse"	"unterhalten"	"pogovor"	0	0	0	0	0	0	0	0	0	0
"conversing"	"unterhalten"	"pogovor"	0	0	0	0	0	0	0	0	0	0
"conversion"	"Umwandlung"	"pretvorba"	0	0	0	0	0	0	0	0	0	0
"convert"	"Konvertieren"	"Pretvorba"	1	0	0	0	0	0	0	0	0	0
"converted"	"umgewandelt"	"pretvori"	0	0	0	0	0	0	0	0	0	0
"convertible"	"umwandelbar"	"konvertibilen"	0	0	0	0	0	0	0	0	0	0
"convex"	"konvex"	"konveksni"	0	0	0	0	0	0	0	0	0	0
"convexity"	"Konvexität"	"konveksnost"	0	0	0	0	0	0	0	0	0	0
"convey"	"vermitteln"	"prenesti"	0	0	0	0	0	0	0	0	0	0
